2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,FIPS,County Name
"303,997","303,858","303,739","304,733","19,399,878","19,499,241","19,572,932","19,624,447","19,651,049","19,654,666","19,636,391","19,589,572","19,530,351","19,453,561",36,New York state
"49,359","49,079","49,177","48,969","304,086","304,596","305,723","306,589","307,151","307,433","307,597","307,717","306,585","305,506",1,Albany
"1,348,164","1,354,056","1,363,488","1,376,261","48,971","48,800","48,210","47,900","47,652","47,334","47,044","46,639","46,332","46,091",3,Allegany
"200,905","200,877","201,029","200,935","1,387,298","1,397,335","1,411,496","1,421,928","1,430,942","1,440,005","1,444,417","1,440,625","1,432,087","1,418,207",5,Bronx
"81,342","81,056","80,761","80,491","200,481","199,363","198,667","197,914","197,251","195,928","194,498","193,100","191,925","190,488",7,Broome
"80,892","80,629","80,482","80,172","80,218","79,815","79,348","78,996","78,677","77,926","77,658","77,176","76,726","76,117",9,Cattaraugus
"135,640","135,481","135,229","135,197","79,895","79,693","79,505","79,088","78,762","78,298","77,674","77,457","77,121","76,576",11,Cayuga
"88,732","88,634","88,503","88,849","134,725","134,209","133,304","132,852","131,751","130,529","129,206","128,372","127,472","126,903",13,Chautauqua
"51,391","51,463","51,326","50,639","88,895","88,899","89,137","88,199","87,177","86,705","85,644","84,736","83,935","83,456",15,Chemung
"82,547","82,556","82,401","82,280","50,399","50,182","49,883","49,477","49,319","48,772","48,315","47,805","47,445","47,207",17,Chenango
"63,427","63,430","63,253","63,023","82,096","81,728","81,714","81,523","81,463","80,718","80,500","80,531","80,679","80,485",19,Clinton
"49,449","49,624","49,537","49,358","63,036","62,528","62,449","62,170","61,942","61,434","60,835","60,338","59,785","59,461",21,Columbia
"48,271","48,450","48,363","48,182","49,279","49,380","49,023","48,905","48,740","48,290","47,915","47,815","47,722","47,581",23,Cortland
"294,712","295,319","296,267","296,887","47,888","47,584","47,215","46,803","46,562","45,891","45,393","45,028","44,526","44,135",25,Delaware
"925,564","921,887","920,571","919,334","297,728","298,133","297,023","296,268","295,127","294,039","293,029","293,545","293,939","294,218",27,Dutchess
"39,490","39,373","39,435","39,478","919,152","919,843","919,906","920,869","921,755","920,644","918,678","919,034","919,717","918,702",29,Erie
"51,511","51,782","51,907","51,706","39,360","39,271","38,875","38,601","38,323","37,965","37,671","37,487","37,288","36,885",31,Essex
"55,328","55,489","55,584","55,558","51,645","51,545","51,791","51,212","51,096","50,540","51,081","50,465","50,279","50,022",33,Franklin
"59,919","59,930","59,895","59,932","55,455","55,112","54,845","54,345","53,932","53,801","53,610","53,802","53,633","53,383",35,Fulton
"49,513","49,537","49,467","49,372","59,928","59,880","59,672","59,112","58,725","58,462","58,013","57,798","57,487","57,280",37,Genesee
"4,987","4,969","4,893","4,858","49,139","48,857","48,587","48,308","47,964","47,616","47,494","47,442","47,381","47,188",39,Greene
"64,029","64,343","64,404","64,381","4,851","4,826","4,803","4,766","4,700","4,699","4,556","4,471","4,432","4,416",41,Hamilton
"113,650","115,059","115,033","115,023","64,470","64,386","64,227","63,883","63,384","62,652","62,436","62,163","61,713","61,319",43,Herkimer
"2,436,132","2,441,324","2,460,361","2,487,751","116,592","117,752","120,235","118,490","117,971","116,371","112,980","113,157","111,866","109,834",45,Jefferson
"27,001","27,086","26,878","27,047","2,509,828","2,540,817","2,568,450","2,587,684","2,601,513","2,608,794","2,608,423","2,594,676","2,578,074","2,559,903",47,Kings
"65,357","65,460","65,637","65,420","27,077","27,027","27,196","27,098","27,089","26,827","26,647","26,605","26,486","26,296",49,Lewis
"72,042","72,709","73,075","73,169","65,240","64,849","64,796","64,627","64,585","64,344","64,000","63,483","63,213","62,914",51,Livingston
"738,329","739,249","741,018","743,386","73,440","72,887","72,414","72,457","72,210","71,636","71,387","70,942","71,117","70,941",53,Madison
"49,724","49,798","49,951","50,001","744,580","746,751","747,344","748,290","747,364","745,577","743,770","742,724","742,864","741,770",55,Monroe
"1,324,905","1,322,048","1,325,129","1,332,088","50,307","49,911","49,829","49,743","49,679","49,564","49,169","49,163","49,394","49,221",57,Montgomery
"1,578,171","1,581,402","1,587,022","1,583,431","1,341,669","1,346,223","1,349,616","1,352,193","1,354,705","1,354,840","1,355,952","1,357,293","1,357,534","1,356,924",59,Nassau
"216,148","215,791","215,793","216,043","1,588,767","1,608,293","1,623,911","1,627,491","1,630,678","1,636,063","1,635,443","1,630,698","1,629,055","1,628,706",61,New York
"234,229","234,488","234,482","234,619","216,475","215,719","214,713","214,105","213,305","212,358","211,554","210,848","210,060","209,281",63,Niagara
"460,925","461,287","463,472","465,633","234,756","234,218","233,765","233,347","232,598","231,264","230,375","230,011","229,474","228,671",65,Oneida
"104,644","105,216","106,302","107,214","467,533","467,614","467,030","468,146","467,285","466,277","464,109","461,795","461,649","460,528",67,Onondaga
"366,908","368,464","370,201","372,079","108,176","108,599","108,611","109,044","109,334","109,271","109,229","109,538","109,738","109,777",69,Ontario
"43,420","43,342","43,254","42,975","373,445","374,097","373,699","374,320","374,845","375,803","377,799","379,758","382,126","384,940",71,Orange
"122,354","122,213","122,366","122,055","42,851","42,648","42,391","42,229","41,861","41,481","41,247","40,786","40,655","40,352",73,Orleans
"63,032","62,914","62,561","62,280","122,137","121,981","121,458","121,170","120,590","119,735","118,895","118,427","117,515","117,124",75,Oswego
"99,357","99,454","99,537","99,666","62,259","61,971","61,747","61,614","60,950","60,504","60,132","59,920","59,810","59,493",77,Otsego
"2,173,862","2,177,351","2,193,623","2,217,166","99,667","99,827","99,625","99,572","99,438","99,185","98,761","98,856","98,814","98,320",79,Putnam
"157,312","158,243","159,011","159,150","2,234,701","2,255,482","2,272,222","2,287,185","2,298,736","2,305,838","2,306,830","2,295,808","2,274,605","2,253,858",81,Queens
"457,577","459,642","463,701","466,965","159,340","159,589","159,437","159,545","159,666","159,436","159,294","159,200","159,283","158,714",83,Rensselaer
"299,390","301,668","305,413","308,652","469,615","471,021","470,614","471,803","471,937","472,349","474,040","475,671","476,260","476,143",85,Richmond
"111,556","111,586","111,684","112,169","312,499","315,452","317,196","319,284","321,119","322,919","323,258","324,622","325,522","325,789",87,Rockland
"214,627","215,798","217,282","218,652","111,812","112,277","112,355","111,931","111,437","110,348","109,449","108,699","108,327","107,740",89,St. Lawrence
"151,768","152,275","153,360","154,050","220,109","221,111","222,483","224,087","224,513","226,078","227,122","229,276","230,170","229,863",91,Saratoga
"32,661","32,894","32,890","32,776","154,861","154,864","155,016","154,944","155,016","154,733","154,475","154,710","155,079","155,299",93,Schenectady
"18,752","18,707","18,644","18,398","32,686","32,618","32,039","31,900","31,767","31,405","31,304","31,255","31,146","30,999",95,Schoharie
"35,223","35,469","35,370","35,286","18,334","18,413","18,498","18,382","18,176","18,027","17,967","17,913","17,884","17,807",97,Schuyler
"98,473","98,541","98,726","98,949","35,266","35,380","35,388","35,250","34,879","34,801","34,710","34,246","34,179","34,016",99,Seneca
"1,475,626","1,475,255","1,480,218","1,487,206","99,005","99,148","98,925","98,843","98,165","97,551","96,958","96,360","95,860","95,379",101,Steuben
"77,231","77,991","77,755","77,647","1,494,339","1,498,892","1,496,982","1,497,346","1,495,525","1,491,967","1,486,406","1,483,358","1,480,830","1,476,601",103,Suffolk
"51,536","51,565","51,498","51,236","77,476","77,053","76,931","76,945","75,634","74,832","74,922","74,994","75,399","75,432",105,Sullivan
"99,651","99,910","100,383","101,497","51,008","50,875","50,278","50,103","49,824","49,355","48,824","48,609","48,441","48,203",107,Tioga
"182,845","182,818","183,174","182,638","101,740","101,821","102,726","103,553","103,391","103,006","102,942","102,664","102,419","102,180",109,Tompkins
"65,554","65,740","65,848","65,694","182,418","182,448","181,538","180,698","180,400","179,658","179,042","178,635","178,418","177,573",111,Ulster
"62,771","63,054","63,252","63,077","65,665","65,736","65,417","65,083","64,866","64,420","64,438","64,365","64,215","63,944",113,Warren
"93,595","93,539","93,739","93,643","63,356","63,091","63,003","62,765","62,475","62,246","61,795","61,559","61,274","61,204",115,Washington
"931,426","933,414","937,449","944,201","93,751","93,256","93,029","92,339","91,801","91,291","90,758","90,429","90,200","89,918",117,Wayne
"42,673","42,515","42,281","42,236","950,601","956,262","959,585","964,567","967,044","968,773","970,267","969,689","968,213","967,506",119,Westchester
"25,025","25,234","25,352","25,303","42,126","41,849","41,700","41,359","41,134","40,930","40,432","40,282","40,023","39,859",121,Wyoming
"25,376","25,454","25,337","25,207","25,149","25,128","25,059","25,002","24,951","24,913","24,923","25,021","24,959","24,902",123,Yates
